text_id,text
10,"I definitely do NOT recommend it. For a period of 2 months we left more than 3 thousand zlotys for a series of completely unnecessary studies, all the time I heard that my pregnancy is in danger and that he is saving my child - quote here: before natural selection. As he told me that the bacterium that I have is deadly, something has been in my head and thanks to the help of a kind person we found another doctor - Tomasz Lipinski, who I highly recommend. Generally it's not about the money, but about all the fear and the medicine we've been through, not knowing what really happens to the little one. It's a shame, because I think I have the professional knowledge. Lewandowski has, only definitely abuses it, not caring about his patients but only about the wealth of his own wallet. I DISCOURAGE"
11,"I recommend helpful, nice, student friendly, no problem, you can easily pass the ppl making cards (you can take a little jerk off) usually the basic concepts of the instruction nothing fancy"
12,"It's a nice hotel without a bump. The stay with 2 children was very successful. The hotel is very well located - access to the beach through the forest, close by. To the center of the town ok . 20 minutes walk. The food is very good, but not many suggestions for vegan. The swimming pool and the spa centre were very good for both children and adults. A bit of a poor playroom, but there was a pool with balls, so we do not complain. There are 2 disadvantages when leaving with the children: No outdoor playground and no lunches, you have to wait until 5 pm for lunch and you had to do some combination with the kids. Besides, it's a revelation."
13,"Unfortunately, I cannot recommend Dr. . Ruins. . . Lured by the internet star rating from the beginning, she did not have such confidence and this awareness that she came to the doctor who will listen to me and help with my ailments. Unfortunately, my intuition worked out 100% despite my sincere desire. A visit is expensive because 200 zloty for 5 minutes of conversation is absurd for me. A quick, superficial diagnosis would seem to be the same cure for everything and everyone suffers from the same thing. At least in my eyes the diagnosis also depends largely on the initial interview with the patient. At least then you know what is going on, for example, or what has been messed up in my case. She paid m 200 zl for the drugs. . And nothing helped or even worsened my physical and mental condition. Unfortunately, I can't recommend this gentleman, but maybe it is me who is special or this situation just happened to me. . . For a wrong diagnosis, high price of the visit and the assigned drugs, not counting the white deer and for suffering for 2 weeks and worsening of the skin condition. Greetings to the Dog. Dr. is very nice - in plus ."
14,"Not looking at the price of the set is ok but the prices went very sharply. When you spill on the floor it is a Tiny handful of bricks of which 90% are standard LEGO bricks. The set is not worth the price . 80% of the cost of the bricks is a license paid for Disney . Licenses + taxes . This set in the USA $79 but already in England £99 in Poland almost £500 . This applies to all sets with LEGO STAR WARS from the new series - for a few bricks and a license we pay 350 - 600 PLN . Not too big but only for small / medium sets. The problem is that children want it . The BB8 robot figurine itself, consisting of TWO ! Bricks cost 22 pounds outside the set and in Poland 120 PLN . Paranoia . Basket of an ordinary lego figurine is about 12 . The cost of people from the old Star Wars series is about 20 - 25 PLN . And Kylo Ren from the new series is 100 PLN (small man of the lego with a sword) . I am sorry that we pay so much for the license. Full grazing large set of LEGO firehouse with two fire trucks, people and buildings costs half the price of a modest set of Star Wars from the new series."
15,"Scientists have pointed out the effects of cannabidiol in the treatment of epilepsy. Vice President of the Polish Academy of Sciences, Pharmacologist Prof . Stanisław Czuczwar noticed that cannabidiol has practically no addictive effect and has no psychotic effects. ""Spicing cannabidiol + mouth + marijuana makes no sense,"" he said. Czuczwar referred to studies on the use of cannabidiol as a supplement to antiepileptic drugs in children and adolescents with drug-resistant epilepsy: "" 44% of the patients surveyed reacted at least by reducing the number of seizures by 50% . "" . In his opinion this is a very good result . However, he pointed out that the tests that have been carried out so far were small - they were carried out on several dozen patients and the tests lasted only a few months. Meanwhile, in the case of epilepsy drugs, long-term effects are very important. And in this respect the tests have not yet been conducted. Prof . Jerzy Vetulani from the Institute of Pharmacology of the Polish Academy of Sciences in Krakow pointed out that due to social phobias, objective, large-scale research on the therapeutic effects of cannabis is very difficult to carry out. ""I cannot find an ethics committee in most countries that would agree that 3,000 people could regularly receive drugs for two to three months (marijuana-based, PAP),"" said the researcher."
16,"The building is beautiful, magnificent, located on a pedestrian promenade right next to the park. Unfortunately, terribly neglected and fatally managed . Everything to renovate and replace! In the room a TV set from the eighties of the last century . The swimming pool too, and already access to it and the cloakroom complex makes you feel like in a hospital and not in a hotel. . . The only plus is the cleanliness"
17,"The main prize and first place for the representatives of the foreign medical centre was awarded by the Society of American Military Orthopaedists for the first time in its 58th year of history,"" stressed SOMOS chairman Lt. Mark Slabaugh at Friday's meeting. The work of the Polish people was one of the approx. The work of Poles was one of approximately 40 evaluated in the annual competition. During the press conference WIM representatives emphasized that the conference participants were mainly specialists from the USA and guests from leading orthopaedic centres in Canada, Norway, Israel and Great Britain. The participation of Poles in the conference allowed them to establish direct contacts with representatives of similar medical centres - including Walter Reed Centre in Washington, D.C., Central Air Medicine Centre in Colorado Springs (USA) and Central Military Hospital in Trondheim (Norway) ."
18,"While visiting Kazimierz Dolny decided to stay with their family not in a hotel but in a country cottage. The choice fell on Zagrodowa Osada in Uściąż (5 km from Kazimierz Dolny). Typical rural climate, away from the noise of the ""town"" where children can commune with nature, feed animals (rabbits, ducks), play with cats, dogs and ride a horse. I recommend learning horseback riding, the owner has a lot of patience and devotes a lot of time. prices very reasonable (25 zł / half an hour) owner, passionate, very nice and helpful woman. The rooms are clean and comfortable. Very good, nutritious country breakfast. Definitely recommend for a short trip to Kazimierz. If you stay longer, a little bored. . . . .but, well, we are in the countryside. . . . . .a happy village, a peaceful village. . . . . ."
19,"They booked us a room for a Saturday/Sunday night. Unfortunately, no one informed us that we would be having a wedding. I was. We didn't sleep the whole night. We arrived after a 300 km trip to a place about. 21 . 00, so there was no chance of us withdrawing from the accommodation proposal. The next day, the driver took part in the competition. And then another 300 kilometers home. A tragic weekend. And it was supposed to be so beautiful. Besides, a room without air conditioning. With the window closed, you can suffocate yourself, and when we opened the window, there was a car ""refrigerator with catering"" just below us. so some kind of aggregate would turn on and off. When we went to see the beach, we suddenly felt a terrible stink. When we went down to the beach, there was a TOYTOYE (probably not cleaned for a long time). A nightmare. And one more thing, ambiguous information about the room rate - different information from two different people working at the reception. Of course I have a lesson to learn that everything should be confirmed, at least by email."
20,"The Polish Working Party on Human Rights . The Polish Working Group on Ethical Problems for the End of Life is a permanent team of specialists in ethics, medicine and law. The Group has been operating in a constantly changing composition since 2008 and takes initiatives aimed at introducing legal regulations and standards of conduct in the area of care for people at the end of life. Its members are experienced ethicists, philosophers, doctors, lawyers and theologians, both practitioners and academic and teaching staff of universities, who meet during regular seminars. The works presenting the project of the medical proxy institution have been published in the ""Polish Archives of Internal Medicine"" vol . 126 ( 2016 ) 5 , s . 313 - 320 . ) and in "" Practical Medicine "" No. 330 ( 2016 ) 5 . s . 102 - 111 . ) ."
21,"She used the hotel for the second time with the promotion of the price of accommodation - 39 or 49 PLN. I think that then the price is adequate to the quality. However, right from the beginning I have to mention that the whole hotel is 'squeaking'. It's like the sound of old CRT TVs or some smartphone apps that are used to produce high-frequency annoying sounds for the ears. This sound is steady with second intervals, I don't know if it's any air conditioning or any fire protection but unfortunately it's very annoying to the ears. From the plus point of view I can replace a pretty big bed, roller blinds blocking the window, so you can get some more sleep in the morning and various lights. The maids clean the room every day and change the bed linen With some worse things, as for me cushions are not cushions but something rectangular and la cushions are not sleeping, a little support is needed ; - ) The table underneath the TV is a little tiny, but it's fine. It's a shame that there's only one outlet next to the TV. There is also no bigger wardrobe or even a shelf to put things on. The shower is coeducational, i.e. transparent, completely basic but sufficient. It is also a pity that the towel is only one per person. For the price of 50 PLN it is a really affordable option not far from the center, so if I have to appear there again, I will definitely do it ; - )"
22,"The access is very poor, far from the city centre. There are no plates informing about room numbers in the building. The rooms are dirty, cobwebs, plaster falling off, stains on the walls, balcony door broken (they stick on one hinge), no hot water at night, fungal showers. In a bowling alley, slats on tracks fall off, very little space, ping-pong pallets are the same planks. . . . a billiard set is also not complete, in the pool ice water, in the jacuzzi there were only jets in 2 places, ceilings in the corridor in the recreation area glued on a grey tape! ! The restaurant is not adapted for the disabled. The owners are focused on the cash register, make the stay difficult, do not invest in the object. For everything you have to pay extra, we waited for an hour until someone comes to light a bonfire - finally came the lady who announced that she can not do it. . . . I DO NOT RECOMMEND IT!"
23,"In one fell swoop 43 hotels with 5,400 rooms operating under the Grand City Hotel brand in Germany, Belgium and the Netherlands will take over the brands belonging to the Wyndham Hotel Group ( WHG ), the largest hotel group in the world in terms of the number of facilities (not rooms!). Under the partnership agreement concluded between Grand City Hotel ( GCH ), the second largest hotel management company in Germany, and WHG, as many as 43 hotels, out of 120 GCH portico facilities, will adopt the brands of the American group. The Wyndham Grand brand will be taken over by 5 hotels, Wyndham 3 hotels, Wyndham Garden 10 hotels, TRYP by Wyndham 17 hotels and Days Inn 8 hotels. 33 hotels will be rebranded by 1 March 2013. and the rest in the next two years."
24,"Perfectly designed and constructed object! Simply divine design and for that reason I will come here again. Besides, great food served in a beautiful restaurant, excellent spa and fantastic service. Prices for accommodation in such a place seem ridiculously low!"
25,"As for a hotel taking about 700 pln for an overnight stay in the season, the gym is neglected. Nice service, but what if a lot of the equipment ""drifted"" . They work, but in this class of hotel, should be better. Look at the pictures. Next note: I bought a pass for 10 entries ( weekly stay ) mainly because they started with 8. 00, unfortunately, after the weekend, I was informed that they will only be open from 9 . 00 , not nice ! Besides, there is only one air conditioning system, I think the central air conditioning system is either too expensive or not working. Such a grandfathering, and room prices, as per location, are high. No straight back muscle training bench."
26,"When I first stopped there, I had some concerns about the quality of this facility. When you enter a room, it turns out that the rooms are not inferior to very good * * * hotels . The rooms are neat, clean and quite large. The restaurant, well, you can eat. I have the impression that they use too much chemistry for cooking and the dishes are heated up: ( On the plus side very nice and helpful service :) Generally for the hotel the rating is very good and for the restaurant at most average."
27,"Information to be found on the Internet: Dr n . med . Bożena Dołyk Specialization : Pediatric neurology Other : Certificate of the International Vojta Association ( IVG ) in the field of Vojta diagnostics with the right to teach diagnostics , IVG certificate in the field of Vojta therapy . Comment from the BabyBoom forum in July 2005: ""We recommend to all mothers who want to have a REAL CHILDREN'S HEALTH we recommend to Ms. Bożena Dołyk - a professional approach and a revelation at all. "" ( http://www.babyboom.pl/forum/zlota-lista-f51/czarna-lista-1846/index6.html#post_message_82728 )"
28,"I highly recommend Mrs. Dr. Jędrzejczak as a good professional and at the same time a nice and kind person for the patient. After several dozen years of struggling with diseases, my father accidentally came to her and finally started to be properly treated. It is only a pity that so late, because many of the lesions could not be reversed, and those sick years, the stress and struggle - sometimes for life - can no longer be erased from his memory. And it's a pity that my mother didn't live to see it anymore, because those years of worries and care for her father probably shortened her life. For almost 6 years I went to various doctors with my ailments which were becoming more and more serious and everyone was spreading their hands. She experienced a lot of annoyance and even humiliation in doctors' offices, when I was already treated as a bully or a person with mental problems, they shouted at me and got rid of me. She spent quite a lot of money on private visits, paid examinations. One visit to Dr. Jędrzejczak and a thorough interview (how important it is for the doctor to listen to the patient and, of course, to have knowledge) were enough. She was referred for a few examinations and that was enough to find the cause of my ailments. Why didn't any of the doctors think about it before? There was no willingness or knowledge? ? ? I don't know. The most important thing is that I'm finally being treated properly. That would be so much from me about Dr. Jędrzejczak. And one more thing: I don't know how the ward, which is headed by the doctor. Because I'm not interested in it and that's not what this site is about. We judge the doctor here, and I judge that very well."
29,"The visit went quite smoothly, the doctor checked the results of the tests, made a factual interview and determined the treatment. In addition, the doctor recommended that the tests be carried out without a referral (a referral from the doctor is required to perform the test), although during the visit it was suggested to me. Currently the contact with the doctor is quite limited and I do not know if he will give me a referral for the tests he recommended me to do without an appointment for a paid visit. From this point of view it looks weak. Greetings Matthew"
30,"This facility has the best times behind it. The rooms definitely need refreshing . The cleanliness was not perfect but it was possible to survive. The hotel is worth attention because of its attractive price, but the standard leaves much to be desired. Apparently it is WiFi but I have not managed to connect. Noteworthy are very good breakfasts in this class."
31,"It is true that she is a very nice and tactful woman who explains everything thoroughly and answers every question. In the beginning she was very pleased with me, but she stopped going to her because with each subsequent visit she felt more and more disposed of me. My visit (I will mention that always private, for which she paid me as for a normal visit) lasted 5 minutes and consisted of writing a prescription. . . The doctor didn't do anything to me and it was like that from 3 visits in a row. I don't think this is how a visit should look like even for a fund, let alone when you pay a lot of money for it. I was very disappointed with it. . . ."
32,"An ordinary seaside resort. Although the website is professionally made, the resort itself does not delight. Standard rooms, nicely furnished but very small. For two people it may be, but for a family with a child it is definitely too cramped. Once you have unfolded the armchair on which the third person sleeps, you cannot open the balcony door, so you have to fold the armchair to the balcony during the day. Smoking on balconies is forbidden - a fine of 100 PLN. The water in the warm bathroom, if someone likes it more than warm, it will simply freeze in the shower. There are no kettles in the rooms and you cannot have your own, because of the electrical installation - words of the receptionist. Room card (key) only one and you can't get another one. The food is very good, very large selection of everything. Very nice ladies waitresses and very nice cleaning ladies. Dinner consisting of two dishes, served to the table. It is not possible to exchange for another dish - if there are served, for example, offal, it is not possible to exchange for anything else. If you don't like something, you just don't eat your dinner - that's the solution of the receptionist, with whom I talked about it. Your receptionist absolutely requires training in the culture of guest service, and the importance of the reception - the business card of the hotel / facility. I recommend to the owner. A playground with modest, dirty sand in the sandbox. High stairs to the beach . To sum up - as I wrote at the beginning - an ordinary small resort. The price was overstated in relation to the quality of services provided, I will certainly not return there. Generally I do not recommend ."
33,"He only met him yesterday. My first intuition was. . : The calendar of rates and availability, as well as the methodology of their introduction have definitely changed. Interestingly, there is no longer any Booking Button functionality available, which played the role of a booking engine for the hotel website. All the more so because recently it was possible to use it without paying any commission. This is where the answer can be the Booking Suite introduced on 5 January by the giant owned by Priceline . It was created on the basis of a previously purchased interactive agency for buuteeq hotels. It provided hotels with comprehensive digtial marketing and e-commerce solutions: website, booking engine, channel manager, advertising campaigns. In a word, everything related to the presence of hotels in the Internet."
34,"A doctor thrown into the poor framework of Polish health care . TOTAL LACK OF VOCATION ! ! ! ! LACK OF SENSITIVITY . Probably if m had paid 200 PLN (and could have paid em during the visit to the hospital) it would have moved her and probably after the spirometry and allergic examinations the doctor would have at least looked at the results and yes ... . . She didn't even look at the results, whether I have asthma or not. It was March - I only have ailments in April - and she wanted to treat me in May! ! FUNNY ! ! ! ! ! ! ! ! IT'S COMPLETELY OUT OF THE QUESTION! ! ! ! I ADVISE YOU NOT TO GO IN PRIVATE ! ! ! ! ! ! ! ! ! BUT NOT FROM HER. ! ! ! !"
35,"The hotel is perfect for me and my 14-year-old son. A lot of attractions, it is hard to get bored - we visited the zoo, sealarium, rope park, Blucher bunkers in Ustka - all in a holiday package! A pleasant, quiet and clean room with a view of the park - a revelation! Excellent food. Bowling, ping-pong, unlimited access to the pool. Excellent treatments and massages. Also noteworthy is the discreet and extremely helpful service. We have not missed anything, total relaxation and wonderful time spent with the child. Recommended for families with children. But it is also an object with a rock claw - the stars performing here are world-famous, min . Santana or ZZ TOP etc. Amphitheatre is impressive. So it is worthwhile to get interested in the offer of the hotel, and even more - just go to the Charlotte Valley. I recommend it warmly, with a clear conscience: )"
36,"10 years ago, Franke bought 'em a sink. Looks almost the same. The old model has more extended chambers and the triggers are not centrally placed . After experience with the previous sink, now they bought the same sink too . Unfortunately, we were very disappointed. They do not write this in the information, but this sink has no overflow hole and it is not possible to close the second sink with a plug! ! ! There is only a strainer. The whole thing is clearly devastating compared to the previous one. One only plug also has a changed construction and I do not believe that it will last as much as the old one."
37,"I have many reservations about Dr. Turowska. She does not devote too much time to her patients, during the visit she receives private phone calls, she is unpleasant and sometimes biting. One can get the impression that she treats women from above. In case of complications she will not give detailed information on her own, you have to ask her questions or leave her office with uncertainty and fears. The proof that she does not take her patients seriously is the fact that nobody was willing to inform me that on the day she was scheduled to visit me, Dr. Turowska would not be able to reach Yelenia on time because of the conference - supposedly she could not reach Yelenia on time because the ""train was delayed"" (I doubt that with such charges for a private visit Mrs. Turowska travels by train. . . ) As a result, she wasted my time unnecessarily to go twice for a visit / Well, despite everything that she wrote to me, I have to admit that, anyway, Dr. Turowska is an expert and her recommendations have always been effective. However, the discomfort she felt in her presence made her resign from her services in the 7th month of pregnancy."
38,"The hotel should be called a failure. The room we got so terrible that I had to pay 100 euros for the change and also on the same quality but from the side of the beach with a nice garden, previously the employees lived in these rooms so it proves something, food so bad that my daughter ate all 9 days in town, the only plus is a lady smiling in the bar All Inclusiv, generally German geriatrics and Russian kindergarten, Sozopol charming, especially the old town but small and neglected, view from the terrace beautiful but medium swimming pool. If this is one of the better hotels then I wouldn't want to see the worse ones, in Sunny Beach much better standard. We've been to Sunny Beach a couple of times and it's the worst trip. I know, I know, I know someone would say cheap and in general it's only Bulgaria but in other places it's better and besides, not so cheap at all, I would rather say expensive. I don't recommend Sozopol at all, unless it's a day trip. The advantages are still Stefan the waiter in the old town and Matthew from the shop at Matthew's on the promenade. AAA and a pizza, made by the young guys in the beachside boudoir, really good, my daughter tasted very much: ) ) )"
39,"I guess it's okay, but it's ""but."" First, what I did not like: - For breakfast instead of juices, artificially sweetened drinks are served, - handling a little stiff as if someone nonstop looking at their hands, - in the windows very blowing which does not give you sleep. And now what I liked: - despite the small size of the mattress was comfortable and I slept well, - delicious food, salad Caesar world championship - very pleasant bathrooms - despite everything, service on a very good level. Will I come back? Just for the salad, but for sure."
40,"Within a dozen or so months from the end of Euro 2012 the number of accommodation facilities put up for sale may increase by at least half. In the extreme scenario, up to 250 - 300 currently offered may be joined by the second number. It all depends on the state of the Polish economy, i.e. the domestic demand for accommodation, the pace of transactions concluded or the withdrawal of offers for sale of facilities, and then on a possible increase in the number of foreign tourists. Among the sales offers present on the market, uncategorized facilities with up to 30 rooms at a price lower than PLN 5 million dominate. An operating and fully equipped several-room guesthouse can be purchased for several hundred thousand zlotys."
41,"I sincerely recommend ! Mrs. Kasia creates a great, warm atmosphere in which you can easily throw everything out of yourself and not be afraid to be judged or instructed. An oasis of peace, compassion and wisdom - she can listen for a dozen or so minutes just to briefly sum up the patient's outburst in two or three sentences, let her understand that she understands and ""feels"" what's going on, and then, in the next sentence, pay attention to things that immediately stimulate thinking and change. I went to her a little stressed out, but from the beginning of the visit she had a sense of being in professional and above all good hands: )"
42,"Plusy - large swimming pool - wooded, quiet neighborhood - tasty food - courteous service Minusy - far from the sea (to the ugly beach about 600 m, to the nicer about 1 km) . - mushroom and moisture in the room and bathroom - paid bath towels in the pool - if you did not go for a meal at the beginning of it, what better food was missing later on"
43,"Apartments really well equipped, clean, neatly without mushrooms and walking vermin. The hotel service is very nice and helpful. The downside is that everything in the hotel is extremely well carried. You can hear literally everything, not to mention the maids who cleaned the neighboring apartments making such a noise as if the building was collapsing. And the breakfast. . . . .tragedy. Every day the same thing. Canned fruit and the cheapest iceberg lettuce served for breakfast in a hotel in Portugal is very poor."
44,"Prices from 70 to 125 euros . The cost of accommodation from 8 to 9 June 2012 . The only free apartment in this period is 1980 zł. Regardless of whether the owners of such apartments will earn for Euro 2012 or not, it still seems that they will come out at the party winners. Euro 2012 will certainly contribute to the popularization of this type of facilities - primarily among the compatriots, because foreign guests know well about many of them - and if the owners do not take a penny earlier to equip their facilities, they can gain not only publicity, but also regular customers."
45,"This hotel is the best example that the company is created by people. Even the best company, the best hotel can recommend on staff. In the first evening, the service in the restaurant was very poor, but in the second sance, the restaurant worked thanks to your manager, perhaps Mr. Marcin? at 100%. Fantastic service, fantastic food and fantastic wine. Since we were with our dog, we were offered a separate lodge and everything was at the highest level. The service at the reception was also very pleasant and very helpful. The hotel was clean. Only at night the staircase stairs did not turn on the light and ripped off my ankle tendons as I fell down the stairs. I can recommend this hotel as much as possible."
46,"A perfect hotel. Nice service, clean rooms, fresh linen, possibility to take the teapot to your room, very good breakfasts, gentlemen at the reception desk charming: ) A huge plus for the dryer and basic cosmetics in the bathroom and the phone. Location great, close to the center, next to the fitness center and the gas station. High standard . Nothing to add, nothing to put into words."
47,"Similarly, based on thousands of collected data, the platform will operate. Researchers will be asking for research in a particular area, and the provider of information, i.e. medical data, can be anyone. If they want to provide them, they will be able to choose the scientific project they want to support. The platform will be connected to it via e.g. a smartphone, smartphone or smart wristband. With the user's consent and for the selected period of time, the system will record the body's work (heartbeat, number of steps taken, sleep quality, glucose level, etc.). ) and you will receive a fee for providing your data. Examples of benefits, which may be brought by the platform in a long-term perspective by its creators include e.g. prediction of asthma attack when going to a specific region (and thus taking preventive actions), detection of heart defect or prediction of sugar or other substances in the body. They also include studies of the efficacy of given drugs or therapies, e.g. by comparing health data before and after the initiation of the therapy. A potential benefit in the future could be a reduction in health care costs."
48,"One of the few doctors who deserves a positive entry on this page. A competent cardiologist , specialist not only in his field of rhythm disorders and ablation , trustworthy and above all committed to what he does . I was referred to a doctor when I was diagnosed with a congenital electrical impulse conduction disorder ""WPW"" at the age of 46. She was terrified to read on the internet about the ablation which I was directed to, all the more so because my WPW was appearing and disappearing, which meant that the procedure would not bring a positive outcome. From the moment of the first visit to the procedure she did not feel any fear of performing the ablation and eliminating the defect in my heart, because the doctor with his confidence in the strength of his skills gave me a sense of security and faith that I am in good hands. I recommend the doctor to all patients who have ablation before them because every patient deserves a good, trustworthy doctor. I recommend"
49,"In addition to the typical cavities, I treated the doctor's tooth with root canal. It turned out that I had a very long one root and the task was difficult. But the doctor is patient and very attentive to details, he does everything thoroughly and under a microscope. Despite the tiredness he tells jokes: ) Luckily, he's moderate, so that he doesn't snort laughter with the drill in his mouth :) He always explains what happened to the tooth, what he does and how to take care of it later. This guy is really passionate and you can see that this is his vocation. I'm also a specialist, only in another profession, so the specialist will immediately recognize it :) You can ask for everything and even watch something under a microscope. I sincerely recommend : )"
50,"I recommend the Podklasztorze Hotel as a place for both family recreation and corporate events. On September 12th I had the pleasure to participate in a company event organized in this hotel. Nice and professional service, delicious food and the unique atmosphere of the historic walls made everyone have a great time."
51,"Very modern hotel operating from autumn 2014 Beautiful architecture gently inscribing the object in the shoreline of the lake. The service at the highest level . Very good breakfasts that pay attention to healthy eating - an element very rare . Excellent Wi - Fi . Very nice and suitable size pool almost connected to the lake . Spa - well - probably the weakest point . It is not bad, but in relation to the level of the whole object - there is some detail missing (or maybe I had bad luck) . Nevertheless, one of the prettiest and lowest objects in which em was recently . There are not many such places in Europe . And the tables of the restaurant ""entering"" the lake are priceless. What's interesting, it's all for very reasonable prices. I hope that nothing will change because it will certainly be one of the most visited places I highly recommend!"
